group,guardian,leak_target_memory_limit,threshold_critical_available_percent,peak_or_min_available_kb,health_probe,host_oom,leak_target_result,guardian_result
baseline,no,none,not_applicable,100092,killed,yes,exited_137,not_run
guardian,yes,none,60,2377428,alive_health_ok,no,exited_0,recovered_target_stopped
